Group Name,Machine,Transaction Date,Transaction No,Slot No,Product Code,Menu,Service,Status,Delivery,Category,Price
Master,Machine B ,2025-10-29 09:59:28,3120250,5,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-29 09:23:49,3118796,5,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-29 08:40:54,3117891,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-29 08:33:26,3117775,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-29 08:05:32,3117461,11,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 22:02:33,3116192,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-28 18:35:33,3114466,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 18:30:06,3114378,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-28 18:29:09,3114252,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 18:20:38,3113952,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-28 16:18:36,3111582,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-28 15:32:29,3109728,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-28 14:20:49,3106462,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 13:47:33,3103489,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-28 13:29:11,3102439,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-28 13:18:34,3101852,11,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 13:17:36,3101574,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-28 13:11:45,3100992,51,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 13:10:20,3100717,24,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 13:01:13,3100343,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-28 13:00:06,3100218,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 12:58:42,3100120,51,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 12:54:38,3099527,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-28 12:44:43,3098742,37,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 12:35:57,3097640,37,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 11:56:30,3094297,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 11:53:36,3094043,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-28 11:42:18,3093581,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 10:13:50,3089444,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-28 10:05:52,3089354,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-27 18:24:14,3084647,11,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-27 18:22:29,3084599,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-27 15:26:52,3079261,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-27 13:47:14,3074007,3,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-27 13:40:54,3073160,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-27 13:39:51,3073027,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-27 13:35:56,3072648,44,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-27 13:32:17,3071851,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-27 13:02:48,3069468,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-27 12:47:32,3068646,5,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-27 12:32:22,3067045,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-27 12:27:12,3066398,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-27 12:26:09,3066103,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-27 12:06:55,3063959,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-27 12:05:53,3063872,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-27 11:52:46,3063179,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-27 11:01:57,3060739,5,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-27 09:43:31,3055656,3,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-27 09:29:57,3055162,51,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-24 19:15:36,3039489,41,UMMIR17,BBQ Prawns with Fusilli Pasta,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-24 19:04:15,3039270,2,UMMIJ16,Coconut Water,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-24 19:03:22,3039122,64,UMMIG2,Vegan Burrito Bowl,Cash,Successful,Delivery,Vegan,Premium
Master,Machine B ,2025-10-24 13:30:41,3031854,31,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-24 13:29:44,3031705,47,UMMIR11,Chicken Strips with Sushi Rice ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-24 12:36:19,3028440,61,UMMIS12,Feta & Nut Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-24 12:20:49,3028187,14,UMMIS6,Prawn Mango Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 12:14:44,3027628,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 12:12:56,3027404,37,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-24 12:10:06,3027370,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 11:36:23,3026092,11,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 10:33:13,3022514,27,UMMIV2,Dynamite Chicken Sandwich on Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 10:14:19,3022394,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 10:12:41,3022131,2,UMMIJ16,Coconut Water,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-24 09:25:37,3020477,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-24 09:16:47,3020163,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-23 10:21:16,2988096,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-23 10:15:28,2987820,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-23 09:48:44,2987259,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-22 18:49:47,2982318,6,UMMIB4,Mango Tango Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 13:43:19,2970236,11,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-22 13:35:57,2969216,6,UMMIB4,Mango Tango Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 13:33:43,2968861,14,UMMIS6,Prawn Mango Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-22 13:26:36,2968019,37,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-22 13:16:59,2966342,61,UMMIS12,Feta & Nut Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-22 13:14:19,2965737,37,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-22 13:12:34,2965696,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-22 13:06:57,2964811,1,UMMIJ6,Orange Pineapple Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-22 13:02:39,2963784,5,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 13:01:00,2963572,41,UMMIR17,BBQ Prawns with Fusilli Pasta,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-22 12:52:01,2962967,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-22 12:16:05,2959132,5,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 11:20:25,2955775,6,UMMIB4,Mango Tango Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 10:32:50,2952744,2,UMMIJ16,Coconut Water,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-22 10:30:15,2952301,5,UMMIB4,Mango Tango Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-22 10:29:17,2952280,41,UMMIR17,BBQ Prawns with Fusilli Pasta,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-21 17:05:49,2944459,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 15:20:48,2941355,27,UMMIV2,Dynamite Chicken Sandwich on Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 12:51:48,2931650,27,UMMIV2,Dynamite Chicken Sandwich on Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 12:41:49,2930411,14,UMMIS6,Prawn Mango Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 12:40:16,2930262,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 12:21:00,2929104,31,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-21 11:58:53,2927847,4,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-21 11:48:40,2927179,64,UMMIG2,Vegan Burrito Bowl,Cash,Successful,Delivery,Vegan,Premium
Master,Machine B ,2025-10-21 11:22:15,2925695,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-21 11:21:08,2925555,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 23:47:21,2919024,2,UMMIJ16,Coconut Water,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-20 23:44:13,2918943,61,UMMIS12,Feta & Nut Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-20 18:47:53,2916993,37,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 17:03:46,2915602,4,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-20 16:57:20,2915459,1,UMMIJ6,Orange Pineapple Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-20 16:48:45,2915075,31,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 15:26:04,2913101,41,UMMIR17,BBQ Prawns with Fusilli Pasta,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 15:15:26,2912710,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 15:12:39,2912649,4,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-20 14:24:55,2910203,64,UMMIG2,Vegan Burrito Bowl,Cash,Successful,Delivery,Vegan,Premium
Master,Machine B ,2025-10-20 13:40:29,2907808,4,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-20 13:33:37,2907024,41,UMMIR17,BBQ Prawns with Fusilli Pasta,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 13:31:48,2906777,24,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 13:14:54,2905062,47,UMMIR11,Chicken Strips with Sushi Rice ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 13:13:43,2904893,14,UMMIS6,Prawn Mango Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 13:05:08,2903269,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 12:57:42,2902454,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 12:35:12,2900918,11,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 12:14:51,2899392,11,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 12:08:48,2898952,37,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-20 12:06:58,2898736,14,UMMIS6,Prawn Mango Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 11:54:43,2897967,67,UMMIV8,Egg Mayo Sandwich with Brown Bread ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 11:53:48,2897840,1,UMMIJ6,Orange Pineapple Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-20 11:42:31,2897294,21,UMMIS1 ,Pasta & Herb Chicken Salad,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 11:24:24,2895926,27,UMMIV2,Dynamite Chicken Sandwich on Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 10:50:30,2894251,17,UMMIV4,Chicken Caesar Wrap ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 10:36:38,2893641,27,UMMIV2,Dynamite Chicken Sandwich on Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-20 09:15:20,2891539,1,UMMIJ6,Orange Pineapple Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-17 13:18:20,2875656,2,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-17 13:17:10,2875387,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-17 13:06:45,2874605,41,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-17 12:58:14,2873958,64,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-16 14:51:45,2854269,3,UMMIM5,Oats Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-16 13:44:45,2851145,64,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-16 13:43:28,2851046,1,UMMIJ11,Apple Green Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-16 13:42:34,2850789,1,UMMIJ11,Apple Green Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-16 13:35:24,2849947,3,UMMIM5,Oats Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-16 13:34:38,2849860,6,UMMIB2,Berry Sweet Tart Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-16 12:56:21,2845210,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-16 12:32:51,2842619,41,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-16 12:05:07,2839502,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-16 12:04:18,2839291,31,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-16 11:01:49,2835966,5,UMMIB6,Avo-licious Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-15 19:14:57,2828293,64,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-15 19:13:25,2828022,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-15 15:20:06,2823509,17,UMMIC1,Fruit Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-15 14:12:21,2819024,47,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-15 14:01:16,2817734,41,UMMIR27,Steamed Rice with Butter Chicken ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-15 12:34:55,2810268,1,UMMIJ11,Apple Green Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-15 12:33:45,2809995,64,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-14 13:53:40,2789244,2,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-14 13:14:54,2784204,64,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-14 13:03:28,2782368,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-14 12:46:41,2780683,3,UMMIM5,Oats Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-14 12:41:42,2780214,6,UMMIB2,Berry Sweet Tart Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-14 08:15:30,2766819,11,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
